ID,questionTitle,topics,0
1,How do I help my husband get over his drinking addiction?,Addiction,"By being truthful with him about how his drinking affects you.People who are addicted to a substance, have tremendous emotional pain they are covering up. The only action someone who would like to help, can do, is to be truthful when loving the person.Show your love and express your own wishes on what you'd like from him. This may encourage him to try loving you back instead of drinking to feel better about himself.It also may not since addictions are the result of behavior patterns set very early in life.My best advice is to stay clear that your love is no guarantee he will want to look at his deep emotional pain, clean it out and be open to loving you and to stop harming himself with excess alcohol.Keep in mind that his problem of great emotional pain, can only be solved by him. Try not to get lost into offering more help than he is able to utilize."
4,Why does it feel as if self-harm is an addiction?,"Addiction,Depression,Self-harm","In a way, self-harm can present somewhat like an addiction. According to new research within the field of neuroscience there is a valid explanation for this. When a person cuts or uses other forms of self harm, the body produces endorphins to help make a person feel better. If a person was dealing with depression or high anxiety, that might be misinterpreted by the brain as a way to help oneself feel better and a new neural network or map might form (addiction) that would utilize this new behavior. Another way to look at it would be thru a behavioral lens, a positive reward for a behavior, even though the behavior has other long term negative consequences. Consider working with someone who can both have you work on and address those items that trigger your behavior and the root causes, in this case sadness or depression, and second find someone who can help give you alternatives that take into account the neurological requirement by replacing the behavior with another behavior (such as snapping a rubber band on the wrist) and working to extinguish the unwanted behavior. Someone who is trained in Dialectic Behavior Therapy andor Interpersonal Neurobiology would most likely have the skills and means available to address this with you."
5,My husband was lying about drinking again.,"Addiction,Marriage,Intimacy","So your husband is giving you mixed messages. He says he's willing to cut back on the drinking, but he drinks and hides it. His behaviour is passive aggressive and immature, which puts you into this position of having to act like a disapproving parent. It sounds more like you're talking about an out-of-control teenager than your partner.Your husband's lying is sending a message. ""I get to make my own decisions and you can't stop me"" might be it. Underneath that, maybe it's ""I want to stop but I'm ashamed that I can't and I don't want you to see my failures"". Ultimately, as an adult, he gets to decide what he puts in his mouth and if you try to manage that by monitoring how many beers he has, you are pretty certain to get some fallout... pushback...backlash... How does his drinking affect you? That's where your voice has power, rather than in counting his beers or setting him up to lie (when he's passed out, asking if he's been drinking seems confusing). You've mentioned snoring, which I guess is a legitimate complaint. If he's passing out, that's a legitimate complaint. When he drinks does he drive, act aggressively, or 'check out of' the relationship (avoid you)? All of these things are legitimate concerns, and I'd stick to talking about those rather than counting beers. My guess is he has few other ways to cope with stress, so he checks out with alcohol, and it also helps him avoid your relationship. But the problem is it makes it worse; the more he avoids you, then more you chase him with your questions.There's a conversation that would be helpful here. It sounds like ""I've tried to support you in your drinking less, and it's not working. What are your goals for alcohol and how can I support you in that more effectively?"" I'd like to see you in a place where you're not micromanaging his drinking, but focusing on the things that affect you. What concrete supportive methods can you use with his agreement? Can we get the alcohol out of the house? Is he willing to seek treatment?Lay your expectations out really clearly. ""I won't count your beers, but I can't tolerate lying"". You have to decide what's more important; is it really the number of beers, or is it something else. What do you need to happen in order to want to remain in the marriage? What does he need? Does he let you know what isn't okay with him? He might have trouble saying these things.The drinking is only a part of the complex dynamic in your marriage. A qualified therapist can assist in pulling this apart, understanding it, and changing the way you relate to each other."
8,The organization I work for has told me I cannot go to my 12 step meetings.,"Addiction,Professional Ethics","Hello, and thank you for your question. I know that workplaces have some latitude when it comes to requiring certain behaviors from their employees. For example, they may require you to tell them if you get into some kind of legal trouble. But this situation seems completely different. For one thing, 12 step meetings are supposed to be anonymous. I am not sure how they would know that you attended unless you or someone else told them. I agree that it seems like to cross a line. Usually each state has an office that manages complaints related to employment, such as the Department of Labor or EEOC. You may want to see which entity is in your state and contact them. It would be worth asking them to see if this is a legal practice. If it is but you still wantneed to stay at this job, then you may want to look for alternate sources of support for your sobriety. There are active online support groups that would allow you to do things from the privacy of your home. SMART Recovery http:www.smartrecovery.org is a website that many people like. There are also online groups that specifically discuss the 12 steps. No matter what, I give you a lot of credit for doing your best to keep your sobriety and continuing to see the value in having support. Robin J. Landwehr, DBH, LPCC, NCC "
10,How can I stop abusing alcohol?,"Addiction,Substance Abuse","You may feel hopeless but YOU are not hopeless. Addictions of any sort are difficult to overcome, especially when they serve to bury pain and suffering that one is experiencing. It is not impossible to overcome alcohol or drug useabusedependence on your own, but you will likely find much greater success with the help of a therapist or other support system such as rehabilitation or Alcoholics Anonymous. I suggest doing a bit of research to see what type of helpis available and feasible for you in your area and go from there. Know that recovery takes time, willingness, and effort. Don't give up and remember that you are not hopeless. You can make the choice to change your habits and learn new ways of healthy coping. Best of luck to you!"
15,How do you know if someone is an alcoholic?,"Addiction,Substance Abuse","Basically, being an alcoholic means that someone really depends upon alcohol and does not function well or becomes sick if they do not have it.There is also this acronym that may help:Have you ever felt you needed to Cut down on your drinking?Have people Annoyed you by criticizing your drinking?Have you ever felt Guilty about drinking?Have you ever felt you needed a drink first thing in the morning (Eye-opener) to steady your nerves or to get rid of a hangover?There is an online assessment from the National Council on Alcoholism and Drug Dependence:https:www.ncadd.orgget-helptake-the-testam-i-alcoholic-self-test There is other information on this site as well."
19,"I feel insecure, on edge, and drink too much.","Addiction,Substance Abuse,Anxiety","Given the description you have posted here, it may be time to find someone to work with. First and foremost, look into working with someone who specializes in working with individuals with challenges surrounding drinking. This would need to be assessed first since if it has been ongoing, it may be making the situation worse and given the time it has been utilized as a coping mechanism, there is reason to believe that the structure of your brain may have been effected as has been demonstrated by current neurological research. There are however, ways to address this. As for coping mechanisms, the person you work with should also look at offering you alternatives such as the skills found within the Dialectic Behavior Therapy model (DBT) which has several useful tools to help address the underlying anxiety and difficulty managing emotional regulation. Mindfulness, another component of DBT should also prove to be useful in both becoming aware of your state of mind and emotional state to allow you to make different choices which has been supported by a growing body of evidence. There are also other tools designed to help repair damaged relationships. Well worth looking into.Seeking help is never easy and it is only human to be hesitant given some of the cultural views of working with therapist. This is a difficult place to be in and one that is not easy to move out of, but sitting on it is not going to help it go away. Think of it this way, if you broke your arm, would you just wrap it up and hope for the best? or seek out a professional to help you set the break and teach you how to mend the wound. The same applies here. Think of it as first aid for the mind."
21,"No matter what I do, my mom will almost always find something wrong with it.","Alzheimer's,Family Conflict","Yes, certainly your mom's difficulty in having meaningful conversations with people results from the Alzheimer's disease process which weakens her brain function.Feeling a sense of guilt in relation to a parent, is pretty common for everyone.This is because as little kids and babies, we had a strong reliance on a parent and believing every word they sad and wishing to follow each action they ask or demand, was for the benefit of our own survival.One way of coping with your feeling of guilt is to examine it.Ask what it is you're feeling guilty about?Chances are that your sense of guilt is less due to what you're currently saying or doing to help your mom.Very likely, your guilt feeling is awakening the sense of obligation that you and all of us feel toward a parent simply because parents seem to have unquestionable power when we are very young.After all, you're thoughtful enough to write a question, so chances are great that you're already actively involved in caring for your mom."
22,How do I tell my elderly mother that I can’t stay for long visits?,"Alzheimer's,Family Conflict","Good observation on your part, to distinguish that your feelings in relation to your mom are not necessarily connected to the way she handles her part of the relation toward you.Has your mom usually ignored your opinions and wishes in relating to you?If prior to the onset of Alzheimer's, she never examined her way of relating to you, and if both of you have never had an open conversation about your sense of feeling hurt by her attitudes and manner with you, then the relationship between you and your mom will change in ways other than rational dialogue.She may continue ignoring or overlooking your wishes because she's been stuck in this attitude for most of your life.The good news for you about this is realizing that who you are and your way of relating to your mom, has very little to do with the way she relates to you.This is a more profound disappointment because it shows that her disconnect from you has been for longer than when the Alzheimer's began.You can however, feel a little more free knowing that you're not deserving of being ignored."
23,I have anger issues. I am extremely explosive about the simplest things,Anger Management,"I suggest that you work on emotional awareness. Emotional awareness basically means knowing what you are feeling and why.Emotional awareness also means that you can identify the link between the way you are feeling and your actions. In other words knowing that your feelings dictate what you do.Often feelings of hurt or insecurity can come out as anger if we cannot properly identify and express the feelings.Being emotionally aware also means that you are able to express your feelings to others.  Being unable to do so leads to feelings of frustration and being misunderstood.Many people for many different reasons are not in touch with their emotions.  For example, men traditionally have been brought up taught to not express sadness or weakness.  Therefore, many men learned to turn feelings of sadness, insecurities, or fears into anger and express these feelings as anger.  Being taught not to feel a certain emotion does not make that emotion disappear.  Instead it makes us learn how to express it in other, incorrect, ways.  If a man never learns to say âI am sadâ or âthat really hurt my feelingsâ and instead lashes out in anger, then the response they get from those around them will be to the anger and not a response to the underlying true feeling, which will leave the man feeling alone and misunderstood.You can control yourself and not explode.  Walk away, remove yourself from the situation, do whatever you have to do to not lash out.  Instead of reacting the way you normally would, go somewhere by yourself and think about what just happened and try to understand why such a âsimpleâ thing upset you.  What is the real feeling driving these outbursts?  Maybe you can begin to recognize an underlying pattern. It might help to keep an anger journal.  Write down everything that gets you upset.  That might help you see a pattern and pinpoint what may be setting you off.  Talking with a therapist about this would be beneficial in helping pinpoint the underlying cause of the outbursts you are experience. "
